"SA1_MAINCODE_2016","SA1_sevendigitcode_2016","CED_CODE_2017","CED_NAME_2017","STATE_CODE_2017","STATE_NAME_2017","AREA_ALBERS_SQKM"
31105132401,3132401,312,"Forde",3,"Queensland",0.3336
31105132402,3132402,312,"Forde",3,"Queensland",0.0832
31105132403,3132403,312,"Forde",3,"Queensland",0.6636
31105132404,3132404,312,"Forde",3,"Queensland",0.3187
31105132405,3132405,312,"Forde",3,"Queensland",0.2653
31105132406,3132406,312,"Forde",3,"Queensland",0.356
31105132407,3132407,312,"Forde",3,"Queensland",0.2071
31105132408,3132408,312,"Forde",3,"Queensland",0.1962
31105132409,3132409,312,"Forde",3,"Queensland",5.8138
31105132410,3132410,312,"Forde",3,"Queensland",2.6775
31105132411,3132411,312,"Forde",3,"Queensland",9.1345
31105132412,3132412,312,"Forde",3,"Queensland",7.8664
31105132413,3132413,312,"Forde",3,"Queensland",0.782
31105132414,3132414,312,"Forde",3,"Queensland",1.7148
31105132415,3132415,312,"Forde",3,"Queensland",0.2251
31105132416,3132416,312,"Forde",3,"Queensland",2.2746
31105132417,3132417,312,"Forde",3,"Queensland",2.9354
31105132418,3132418,312,"Forde",3,"Queensland",0.1799
31105132419,3132419,312,"Forde",3,"Queensland",0.1763
31105132420,3132420,312,"Forde",3,"Queensland",0.3219
31105132421,3132421,312,"Forde",3,"Queensland",0.6438
31105132422,3132422,312,"Forde",3,"Queensland",0.2187
31105132423,3132423,312,"Forde",3,"Queensland",0.1489
31105132501,3132501,312,"Forde",3,"Queensland",0.4832
31105132502,3132502,312,"Forde",3,"Queensland",0.1726
31105132503,3132503,312,"Forde",3,"Queensland",0.1265
31105132504,3132504,312,"Forde",3,"Queensland",0.6163
31105132505,3132505,312,"Forde",3,"Queensland",0.352
31105132506,3132506,312,"Forde",3,"Queensland",0.2638
31105132507,3132507,312,"Forde",3,"Queensland",0.1374
31105132508,3132508,312,"Forde",3,"Queensland",0.3002
31105132509,3132509,312,"Forde",3,"Queensland",0.1498
31105132510,3132510,312,"Forde",3,"Queensland",0.1217
31105132511,3132511,312,"Forde",3,"Queensland",0.1006
31105132512,3132512,312,"Forde",3,"Queensland",0.29
31105132513,3132513,312,"Forde",3,"Queensland",0.1322
31105132514,3132514,312,"Forde",3,"Queensland",0.2137
31105132515,3132515,312,"Forde",3,"Queensland",0.2303
31105132516,3132516,312,"Forde",3,"Queensland",0.4182
31105132517,3132517,312,"Forde",3,"Queensland",0.2799
31105132518,3132518,312,"Forde",3,"Queensland",0.6231
31105132519,3132519,312,"Forde",3,"Queensland",0.5851
31105132520,3132520,312,"Forde",3,"Queensland",0.6049
31105132521,3132521,312,"Forde",3,"Queensland",0.661
31105132522,3132522,312,"Forde",3,"Queensland",0.3917
31105132523,3132523,312,"Forde",3,"Queensland",0.3113
31105132524,3132524,312,"Forde",3,"Queensland",0.6866
31105132525,3132525,312,"Forde",3,"Queensland",2.3783
31105132526,3132526,312,"Forde",3,"Queensland",0.894
31105132527,3132527,312,"Forde",3,"Queensland",1.5652
31105132528,3132528,312,"Forde",3,"Queensland",0.1932
31105132601,3132601,327,"Rankin",3,"Queensland",0.0299
31105132602,3132602,312,"Forde",3,"Queensland",1.5554
31105132603,3132603,312,"Forde",3,"Queensland",0.2718
31105132604,3132604,312,"Forde",3,"Queensland",0.2181
31105132605,3132605,312,"Forde",3,"Queensland",0.1733
31105132606,3132606,312,"Forde",3,"Queensland",0.3402
31105132607,3132607,312,"Forde",3,"Queensland",0.4108
31105132608,3132608,312,"Forde",3,"Queensland",0.261
31105132609,3132609,312,"Forde",3,"Queensland",0.1751
31105132610,3132610,312,"Forde",3,"Queensland",0.3003
31105132611,3132611,312,"Forde",3,"Queensland",0.0904
31105132612,3132612,312,"Forde",3,"Queensland",0.4467
31105132613,3132613,312,"Forde",3,"Queensland",0.3912
31105132614,3132614,312,"Forde",3,"Queensland",0.2416
31105132615,3132615,312,"Forde",3,"Queensland",0.1845
31105132616,3132616,312,"Forde",3,"Queensland",0.177
31105132617,3132617,327,"Rankin",3,"Queensland",0.5925
31105132618,3132618,312,"Forde",3,"Queensland",0.2853
31105132619,3132619,312,"Forde",3,"Queensland",0.8036
31105132620,3132620,312,"Forde",3,"Queensland",0.5999
31105132621,3132621,327,"Rankin",3,"Queensland",1.6784
31105132622,3132622,327,"Rankin",3,"Queensland",0.166
31105132623,3132623,327,"Rankin",3,"Queensland",1.9141
31105132701,3132701,312,"Forde",3,"Queensland",0.2576
31105132702,3132702,312,"Forde",3,"Queensland",0.1802
31105132703,3132703,312,"Forde",3,"Queensland",0.2242
31105132704,3132704,312,"Forde",3,"Queensland",0.2033
31105132705,3132705,312,"Forde",3,"Queensland",0.4475
31105132706,3132706,312,"Forde",3,"Queensland",0.2009
31105132707,3132707,312,"Forde",3,"Queensland",0.4129
31105132708,3132708,312,"Forde",3,"Queensland",0.2562
31105132709,3132709,312,"Forde",3,"Queensland",0.2366
31105132710,3132710,312,"Forde",3,"Queensland",0.2067
31105132711,3132711,312,"Forde",3,"Queensland",0.5889
31105132712,3132712,312,"Forde",3,"Queensland",0.1924
31105132713,3132713,312,"Forde",3,"Queensland",0.1204
31105132714,3132714,312,"Forde",3,"Queensland",0.1089
31105132715,3132715,312,"Forde",3,"Queensland",0.2751
31105132716,3132716,312,"Forde",3,"Queensland",0.3746
31105132717,3132717,312,"Forde",3,"Queensland",0.8043
31105132718,3132718,312,"Forde",3,"Queensland",0.1546
31105132719,3132719,312,"Forde",3,"Queensland",0.4261
31105132720,3132720,312,"Forde",3,"Queensland",0.1702
31105132721,3132721,312,"Forde",3,"Queensland",0.2021
31105132722,3132722,312,"Forde",3,"Queensland",0.1823
